URL	MIME Type	From	To	Captures	Duplicates	Uniques
https://www.microfocus.co.jp/manuals/SE40SP2/classic/empubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/fspubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/classic/prpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
URL	MIME Type	From	To	Captures	Duplicates	Uniques
https://www.microfocus.co.jp/manuals/SE40SP2/classic/udpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/connector/	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/cypubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dialm.gif	image/gif	Aug 11, 2024	Aug 11, 2024	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dialo.gif	image/gif	Aug 11, 2024	Aug 11, 2024	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dialv.gif	image/gif	Aug 11, 2024	Aug 11, 2024	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dijaco.htm	text/html	Apr 6, 2021	Apr 6, 2021	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/dipubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/filler.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/ghcopy.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/ghnotn.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/gspubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/hapubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/help.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/ijhead.js	application/javascript	Nov 23, 2022	Nov 23, 2022	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/java/	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/jjcovr.htm	text/html	Mar 28, 2023	Mar 28, 2023	2	1	1
https://www.microfocus.co.jp/manuals/SE40SP2/jjhead.js	application/javascript	Mar 28, 2023	Aug 11, 2024	2	1	1
https://www.microfocus.co.jp/manuals/SE40SP2/jjhelp.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/jjname.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/jjsrch.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/lhpdf603.htm	text/html	Aug 11, 2024	Aug 11, 2024	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/mf_logo.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/mgpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/mrbook.css	text/css	Nov 23, 2022	Mar 28, 2023	2	1	1
https://www.microfocus.co.jp/manuals/SE40SP2/mrhelp.css	text/css	Aug 11, 2024	Aug 11, 2024	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/mtpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/oppubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/padding.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/qa_.css	text/css	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/qa_.js	application/javascript	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/qa_v.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sapubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/search.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sepubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sgpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sipubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/slpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sopubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/supubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/sxbkcovr.gif	image/gif	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/uipubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
https://www.microfocus.co.jp/manuals/SE40SP2/utpubb.htm	text/html	Mar 28, 2023	Mar 28, 2023	1	0	1
